id,district,police_station,crime_category,crime_subcategory,reported_cases,severity,year,month,source,source_url,data_precision,is_synthetic
906,North,North Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
907,North East,North East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
908,North West,North West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
909,Shahdara,Shahdara Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
910,South,South Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
911,South East,South East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
912,South West,South West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
913,West,West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
914,Central,Central Central PS,Voyeurism,Sec 354C IPC,5,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
915,East,East Central PS,Voyeurism,Sec 354C IPC,10,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
916,New Delhi,New Delhi Central PS,Voyeurism,Sec 354C IPC,2,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
917,North,North Central PS,Voyeurism,Sec 354C IPC,6,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
918,North East,North East Central PS,Voyeurism,Sec 354C IPC,14,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
919,North West,North West Central PS,Voyeurism,Sec 354C IPC,22,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
920,Shahdara,Shahdara Central PS,Voyeurism,Sec 354C IPC,9,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
921,South,South Central PS,Voyeurism,Sec 354C IPC,19,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
922,South East,South East Central PS,Voyeurism,Sec 354C IPC,15,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
923,South West,South West Central PS,Voyeurism,Sec 354C IPC,11,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
924,West,West Central PS,Voyeurism,Sec 354C IPC,13,5,2018,12,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
925,Central,Central Central PS,Rape,Sec 376 IPC,5,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
926,East,East Central PS,Rape,Sec 376 IPC,11,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
927,New Delhi,New Delhi Central PS,Rape,Sec 376 IPC,2,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
928,North,North Central PS,Rape,Sec 376 IPC,5,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
929,North East,North East Central PS,Rape,Sec 376 IPC,13,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
930,North West,North West Central PS,Rape,Sec 376 IPC,21,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
931,Shahdara,Shahdara Central PS,Rape,Sec 376 IPC,8,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
932,South,South Central PS,Rape,Sec 376 IPC,16,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
933,South East,South East Central PS,Rape,Sec 376 IPC,14,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
934,South West,South West Central PS,Rape,Sec 376 IPC,12,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
935,West,West Central PS,Rape,Sec 376 IPC,15,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
936,Central,Central Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
937,East,East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,12,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
938,New Delhi,New Delhi Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,3,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
939,North,North Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,6,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
940,North East,North East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,12,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
941,North West,North West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,24,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
942,Shahdara,Shahdara Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,9,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
943,South,South Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,17,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
944,South East,South East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,14,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
945,South West,South West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,10,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
946,West,West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,14,7,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
947,Central,Central Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,4,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
948,East,East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,11,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
949,New Delhi,New Delhi Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,2,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
950,North,North Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,6,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
951,North East,North East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,12,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
952,North West,North West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,18,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
953,Shahdara,Shahdara Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,8,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
954,South,South Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,17,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
955,South East,South East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,14,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
956,South West,South West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,10,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
957,West,West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,14,8,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
958,Central,Central Central PS,Stalking,Sec 354D IPC,3,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
959,East,East Central PS,Stalking,Sec 354D IPC,10,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
960,New Delhi,New Delhi Central PS,Stalking,Sec 354D IPC,1,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
961,North,North Central PS,Stalking,Sec 354D IPC,5,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
962,North East,North East Central PS,Stalking,Sec 354D IPC,10,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
963,North West,North West Central PS,Stalking,Sec 354D IPC,18,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
964,Shahdara,Shahdara Central PS,Stalking,Sec 354D IPC,6,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
965,South,South Central PS,Stalking,Sec 354D IPC,11,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
966,South East,South East Central PS,Stalking,Sec 354D IPC,9,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
967,South West,South West Central PS,Stalking,Sec 354D IPC,8,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
968,West,West Central PS,Stalking,Sec 354D IPC,10,6,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
969,Central,Central Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,5,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
970,East,East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
971,New Delhi,New Delhi Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,3,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
972,North,North Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,9,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
973,North East,North East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,18,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
974,North West,North West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,25,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
975,Shahdara,Shahdara Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,10,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
976,South,South Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,22,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
977,South East,South East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,18,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
978,South West,South West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,12,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
979,West,West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,21,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
980,Central,Central Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
981,East,East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
982,New Delhi,New Delhi Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
983,North,North Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
984,North East,North East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
985,North West,North West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
986,Shahdara,Shahdara Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
987,South,South Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
988,South East,South East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
989,South West,South West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
990,West,West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
991,Central,Central Central PS,Voyeurism,Sec 354C IPC,5,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
992,East,East Central PS,Voyeurism,Sec 354C IPC,11,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
993,New Delhi,New Delhi Central PS,Voyeurism,Sec 354C IPC,2,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
994,North,North Central PS,Voyeurism,Sec 354C IPC,6,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
995,North East,North East Central PS,Voyeurism,Sec 354C IPC,12,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
996,North West,North West Central PS,Voyeurism,Sec 354C IPC,20,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
997,Shahdara,Shahdara Central PS,Voyeurism,Sec 354C IPC,9,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
998,South,South Central PS,Voyeurism,Sec 354C IPC,16,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
999,South East,South East Central PS,Voyeurism,Sec 354C IPC,12,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1000,South West,South West Central PS,Voyeurism,Sec 354C IPC,10,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1001,West,West Central PS,Voyeurism,Sec 354C IPC,15,5,2019,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1002,Central,Central Central PS,Rape,Sec 376 IPC,4,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1003,East,East Central PS,Rape,Sec 376 IPC,12,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1004,New Delhi,New Delhi Central PS,Rape,Sec 376 IPC,2,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1005,North,North Central PS,Rape,Sec 376 IPC,6,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1006,North East,North East Central PS,Rape,Sec 376 IPC,12,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1007,North West,North West Central PS,Rape,Sec 376 IPC,24,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1008,Shahdara,Shahdara Central PS,Rape,Sec 376 IPC,8,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1009,South,South Central PS,Rape,Sec 376 IPC,17,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1010,South East,South East Central PS,Rape,Sec 376 IPC,14,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1011,South West,South West Central PS,Rape,Sec 376 IPC,10,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1012,West,West Central PS,Rape,Sec 376 IPC,16,9,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1013,Central,Central Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1014,East,East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1015,New Delhi,New Delhi Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,2,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1016,North,North Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,7,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1017,North East,North East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1018,North West,North West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,24,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1019,Shahdara,Shahdara Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,9,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1020,South,South Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,18,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1021,South East,South East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,12,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1022,South West,South West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1023,West,West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,17,7,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1024,Central,Central Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,4,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1025,East,East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,14,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1026,New Delhi,New Delhi Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,2,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1027,North,North Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,6,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1028,North East,North East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,15,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1029,North West,North West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,22,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1030,Shahdara,Shahdara Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,10,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1031,South,South Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,20,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1032,South East,South East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,15,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1033,South West,South West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,10,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1034,West,West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,15,8,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1035,Central,Central Central PS,Stalking,Sec 354D IPC,4,6,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1036,East,East Central PS,Stalking,Sec 354D IPC,8,6,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1037,New Delhi,New Delhi Central PS,Stalking,Sec 354D IPC,2,6,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
1038,North,North Central PS,Stalking,Sec 354D IPC,4,6,2019,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
